Word                        Count  
===================================
a                           391    
aa                          1      
abbaiando                   1      
abbandonare                 1      
abbandonarsi                1      
abbandonassi                1      
abbandonato                 1      
abbassando                  1      
abbassava                   1      
abbassò                     1      
abbastanza                  2      
abbia                       6      
abbiam                      2      
abbiamo                     2      
abbian                      1      
abbisogna                   1      
abbruciati                  1      
abbrustolitomi              1      
abile                       1      
abita                       3      
abitava                     1      
abiti                       1      
abituata                    3      
abituerete                  1      
abituò                      1      
accada                      1      
accadde                     1      
accade                      3      
accadere                    2      
accaderebbe                 1      
accadeva                    1      
accadrà                     1      
accadute                    1      
accaduto                    1      
accanto                     1      
accento                     1      
accettare                   1      
acchiappar                  1      
acchiappare                 1      
accigliata                  1      
accigliato                  1      
accingeva                   1      
accingevano                 1      
accinse                     2      
acciocchè                   2      
acciochè                    1      
accoccolata                 1      
accoccolato                 4      
accomodiate                 1      
acconciò                    1      
accorse                     5      
accorto                     2      
accovacciò                  1      
accozzaglia                 1      
accrebbe                    1      
acerba                      1      
acqua                       1      
acque                       2      
acuminato                   1      
acuta                       1      
acuti                       1      
acuto                       4      
ad                          71     
ada                         1      
adagino                     2      
adagio                      2      
adatto                      1      
addio                       3      
addiventata                 1      
addiventerò                 1      
addolciscono                1      
addormentò                  1      
addosso                     2      
adeguata                    1      
adesso                      1      
adirata                     1      
adiri                       1      
adottati                    1      
adunghiò                    1      
affacciossi                 1      
affacciò                    1      
affamato                    1      
affannata                   1      
affannava                   1      
affanneremo                 1      
affare                      1      
affaticata                  1      
affatto                     11     
afferra                     1      
afferrare                   3      
afferrate                   1      
afferrato                   1      
afferrò                     2      
affettuoso                  1      
affissandola                1      
affisò                      2      
affogando                   1      
affollarono                 1      
affondava                   1      
affrettò                    3      
aggiorni                    1      
aggirava                    1      
aggiungerò                  2      
aggiunse                    2      
aggruppati                  1      
aggruppato                  1      
agita                       1      
agitando                    1      
agitarsi                    1      
agitato                     1      
agitava                     1      
agito                       1      
agli                        4      
aguzzava                    1      
aguzzò                      1      
ah                          7      
ahi                         1      
ai                          7      
aiuole                      1      
aiutami                     1      
al                          95     
alberi                      4      
albero                      5      
alcun                       2      
alcuna                      3      
alcunaltra                  1      
alcunchè                    1      
alcune                      4      
alcuni                      6      
alcuno                      3      
alfine                      1      
ali                         3      
alice                       386    
alicecon                    1      
alicee                      1      
alicequando                 1      
alicevorrei                 1      
alimentare                  1      
alla                        57     
allagitar                   1      
allaltra                    1      
allaltro                    8      
allaria                     3      
allastro                    3      
alle                        13     
allegrezza                  2      
allettarlo                  1      
allibbì                     1      
allimpazzata                1      
allimprovviso               1      
allingresso                 1      
allo                        2      
allombra                    1      
allontanati                 1      
allontanò                   1      
allopera                    2      
